linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.785398
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.000000
linear.x = 0.100000, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.0, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = -0.785398
linear.x = 0.141421, linear.y = 0.0, linear.z = 0.0, angular.x = 0.0, angular.y = 0.0, angular.z = 0.0
